"X","lab","w"
1,"CME",0.15606936
2,"AAPL",0.12027826
3,"MON",0.08206748
4,"MCD",0.05353542
5,"TSO",0.05202312
6,"GME",0.05081328
7,"PCP",0.0766232
8,"LH",0.0483936
9,"BCR",0.04748622
10,"AMT",0.04667966
11,"BLK",0.045369
12,"ISRG",0.0393198
13,"HUM",0.03256486
14,"EIX",0.02933862
15,"SWN",0.02389434
16,"ESRX",0.0226845
17,"WMB",0.01673612
18,"RRC",0.0141148
19,"DVA",0.01199758
20,"RAI",0.00998118
21,"WYNN",0.00897298
22,"CERN",0.00373034
23,"PCLN",0.00373034
24,"AET",0.0035287
