"End Date","CHF/EUR","","","","","","","","",""
"2014-12-14","0.8326",,,,,,,,,
"2014-12-13","0.8326",,,,,,,,,
"2014-12-12","0.8326",,,,,,,,,
"2014-12-11","0.8317",,,,,,,,,
"2014-12-10","0.8317",,,,,,,,,
"2014-12-09","0.8319",,,,,,,,,
"2014-12-08","0.8316",,,,,,,,,
"2014-12-07","0.8317",,,,,,,,,
"2014-12-06","0.8317",,,,,,,,,
"2014-12-05","0.8317",,,,,,,,,
"2014-12-04","0.8311",,,,,,,,,
"2014-12-03","0.8309",,,,,,,,,
"2014-12-02","0.8308",,,,,,,,,
"2014-12-01","0.8312",,,,,,,,,
"2014-11-30","0.8317",,,,,,,,,
"2014-11-29","0.8317",,,,,,,,,
"2014-11-28","0.8320",,,,,,,,,
"2014-11-27","0.8318",,,,,,,,,
"2014-11-26","0.8316",,,,,,,,,
"2014-11-25","0.8314",,,,,,,,,
"2014-11-24","0.8316",,,,,,,,,
"2014-11-23","0.8322",,,,,,,,,
"2014-11-22","0.8322",,,,,,,,,
"2014-11-21","0.8319",,,,,,,,,
"2014-11-20","0.8324",,,,,,,,,
"2014-11-19","0.8324",,,,,,,,,
"2014-11-18","0.8324",,,,,,,,,
"2014-11-17","0.8324",,,,,,,,,
"2014-11-16","0.8324",,,,,,,,,
"2014-11-15","0.8324",,,,,,,,,
"2014-11-14","0.8321",,,,,,,,,
"2014-11-13","0.8319",,,,,,,,,
"2014-11-12","0.8314",,,,,,,,,
"2014-11-11","0.8314",,,,,,,,,
"2014-11-10","0.8313",,,,,,,,,
"2014-11-09","0.8310",,,,,,,,,
"2014-11-08","0.8310",,,,,,,,,
"2014-11-07","0.8306",,,,,,,,,
"2014-11-06","0.8305",,,,,,,,,
"2014-11-05","0.8305",,,,,,,,,
"2014-11-04","0.8296",,,,,,,,,
"2014-11-03","0.8294",,,,,,,,,
"2014-11-02","0.8294",,,,,,,,,
"2014-11-01","0.8294",,,,,,,,,
"2014-10-31","0.8292",,,,,,,,,
"2014-10-30","0.8292",,,,,,,,,
"2014-10-29","0.8292",,,,,,,,,
"2014-10-28","0.8291",,,,,,,,,
"2014-10-27","0.8291",,,,,,,,,
"2014-10-26","0.8291",,,,,,,,,
"2014-10-25","0.8291",,,,,,,,,
"2014-10-24","0.8290",,,,,,,,,
"2014-10-23","0.8289",,,,,,,,,
"2014-10-22","0.8288",,,,,,,,,
"2014-10-21","0.8287",,,,,,,,,
"2014-10-20","0.8286",,,,,,,,,
"2014-10-19","0.8281",,,,,,,,,
"2014-10-18","0.8281",,,,,,,,,
"2014-10-17","0.8282",,,,,,,,,
"2014-10-16","0.8286",,,,,,,,,
"2014-10-15","0.8284",,,,,,,,,
"2014-10-14","0.8277",,,,,,,,,
"2014-10-13","0.8275",,,,,,,,,
"2014-10-12","0.8271",,,,,,,,,
"2014-10-11","0.8271",,,,,,,,,
"2014-10-10","0.8264",,,,,,,,,
"2014-10-09","0.8255",,,,,,,,,
"2014-10-08","0.8248",,,,,,,,,
"2014-10-07","0.8249",,,,,,,,,
"2014-10-06","0.8253",,,,,,,,,
"2014-10-05","0.8260",,,,,,,,,
"2014-10-04","0.8260",,,,,,,,,
"2014-10-03","0.8270",,,,,,,,,
"2014-10-02","0.8281",,,,,,,,,
"2014-10-01","0.8289",,,,,,,,,
"2014-09-30","0.8288",,,,,,,,,
"2014-09-29","0.8286",,,,,,,,,
"2014-09-28","0.8286",,,,,,,,,
"2014-09-27","0.8286",,,,,,,,,
"2014-09-26","0.8284",,,,,,,,,
"2014-09-25","0.8280",,,,,,,,,
"2014-09-24","0.8280",,,,,,,,,
"2014-09-23","0.8282",,,,,,,,,
"2014-09-22","0.8283",,,,,,,,,
"2014-09-21","0.8284",,,,,,,,,
"2014-09-20","0.8284",,,,,,,,,
"2014-09-19","0.8285",,,,,,,,,
"2014-09-18","0.8272",,,,,,,,,
"2014-09-17","0.8265",,,,,,,,,
"2014-09-16","0.8269",,,,,,,,,
"2014-09-15","0.8263",,,,,,,,,
"2014-09-14","0.8265",,,,,,,,,
"2014-09-13","0.8265",,,,,,,,,
"2014-09-12","0.8268",,,,,,,,,
"2014-09-11","0.8266",,,,,,,,,
"2014-09-10","0.8275",,,,,,,,,
"2014-09-09","0.8289",,,,,,,,,
"2014-09-08","0.8289",,,,,,,,,
"2014-09-07","0.8292",,,,,,,,,
"2014-09-06","0.8292",,,,,,,,,
"2014-09-05","0.8291",,,,,,,,,
"2014-09-04","0.8288",,,,,,,,,
"2014-09-03","0.8283",,,,,,,,,
"2014-09-02","0.8283",,,,,,,,,
"2014-09-01","0.8286",,,,,,,,,
"2014-08-31","0.8291",,,,,,,,,
"2014-08-30","0.8289",,,,,,,,,
"2014-08-29","0.8290",,,,,,,,,
"2014-08-28","0.8289",,,,,,,,,
"2014-08-27","0.8281",,,,,,,,,
"2014-08-26","0.8278",,,,,,,,,
"2014-08-25","0.8273",,,,,,,,,
"2014-08-24","0.8262",,,,,,,,,
"2014-08-23","0.8262",,,,,,,,,
"2014-08-22","0.8263",,,,,,,,,
"2014-08-21","0.8258",,,,,,,,,
"2014-08-20","0.8258",,,,,,,,,
"2014-08-19","0.8258",,,,,,,,,
"2014-08-18","0.8261",,,,,,,,,
"2014-08-17","0.8267",,,,,,,,,
"2014-08-16","0.8267",,,,,,,,,
"2014-08-15","0.8258",,,,,,,,,
"2014-08-14","0.8249",,,,,,,,,
"2014-08-13","0.8242",,,,,,,,,
"2014-08-12","0.8240",,,,,,,,,
"2014-08-11","0.8240",,,,,,,,,
"2014-08-10","0.8235",,,,,,,,,
"2014-08-09","0.8235",,,,,,,,,
"2014-08-08","0.8239",,,,,,,,,
"2014-08-07","0.8232",,,,,,,,,
"2014-08-06","0.8228",,,,,,,,,
"2014-08-05","0.8217",,,,,,,,,
"2014-08-04","0.8220",,,,,,,,,
"2014-08-03","0.8221",,,,,,,,,
"2014-08-02","0.8221",,,,,,,,,
"2014-08-01","0.8220",,,,,,,,,
"2014-07-31","0.8217",,,,,,,,,
"2014-07-30","0.8220",,,,,,,,,
"2014-07-29","0.8228",,,,,,,,,
"2014-07-28","0.8230",,,,,,,,,
"2014-07-27","0.8230",,,,,,,,,
"2014-07-26","0.8230",,,,,,,,,
"2014-07-25","0.8229",,,,,,,,,
"2014-07-24","0.8230",,,,,,,,,
"2014-07-23","0.8230",,,,,,,,,
"2014-07-22","0.8231",,,,,,,,,
"2014-07-21","0.8232",,,,,,,,,
"2014-07-20","0.8230",,,,,,,,,
"2014-07-19","0.8229",,,,,,,,,
"2014-07-18","0.8235",,,,,,,,,
"2014-07-17","0.8233",,,,,,,,,
"2014-07-16","0.8227",,,,,,,,,
"2014-07-15","0.8232",,,,,,,,,
"2014-07-14","0.8235",,,,,,,,,
"2014-07-13","0.8236",,,,,,,,,
"2014-07-12","0.8236",,,,,,,,,
"2014-07-11","0.8235",,,,,,,,,
"2014-07-10","0.8232",,,,,,,,,
"2014-07-09","0.8226",,,,,,,,,
"2014-07-08","0.8228",,,,,,,,,
"2014-07-07","0.8225",,,,,,,,,
"2014-07-06","0.8226",,,,,,,,,
"2014-07-05","0.8221",,,,,,,,,
"2014-07-04","0.8225",,,,,,,,,
"2014-07-03","0.8232",,,,,,,,,
"2014-07-02","0.8237",,,,,,,,,
"2014-07-01","0.8236",,,,,,,,,
"2014-06-30","0.8228",,,,,,,,,
"2014-06-29","0.8225",,,,,,,,,
"2014-06-28","0.8225",,,,,,,,,
"2014-06-27","0.8223",,,,,,,,,
"2014-06-26","0.8220",,,,,,,,,
"2014-06-25","0.8221",,,,,,,,,
"2014-06-24","0.8219",,,,,,,,,
"2014-06-23","0.8217",,,,,,,,,
"2014-06-22","0.8213",,,,,,,,,
"2014-06-21","0.8213",,,,,,,,,
"2014-06-20","0.8217",,,,,,,,,
"2014-06-19","0.8215",,,,,,,,,
"2014-06-18","0.8209",,,,,,,,,
"2014-06-17","0.8208",,,,,,,,,
"2014-06-16","0.8210",,,,,,,,,
"2014-06-15","0.8206",,,,,,,,,
"2014-06-14","0.8206",,,,,,,,,
"2014-06-13","0.8212",,,,,,,,,
"2014-06-12","0.8212",,,,,,,,,
"2014-06-11","0.8211",,,,,,,,,
"2014-06-10","0.8204",,,,,,,,,
"2014-06-09","0.8202",,,,,,,,,
"2014-06-08","0.8202",,,,,,,,,
"2014-06-07","0.8202",,,,,,,,,
"2014-06-06","0.8209",,,,,,,,,
"2014-06-05","0.8202",,,,,,,,,
