Date,Open,High,Low,Close,Volume,Adj Close
6/1/2007,153.88,154.4,148.06,150.43,176313600,131.64
7/2/2007,150.87,155.53,145.04,145.72,205031000,127.52
8/1/2007,145.18,150.59,137,147.59,277452000,129.16
9/4/2007,147.45,154.39,144.33,152.58,163177900,134.16
10/1/2007,152.6,157.52,148.66,154.65,177001000,135.98
11/1/2007,153.29,153.41,140.66,148.66,271219900,130.71
12/3/2007,148.19,152.89,143.96,146.21,170095700,129.24
1/2/2008,146.53,146.99,126,137.37,307167300,121.42
2/1/2008,137.94,139.61,131.73,133.82,220182200,118.29
3/3/2008,133.14,135.81,126.07,131.97,281440600,117.23
4/1/2008,133.61,140.59,132.33,138.26,191956700,122.82
5/1/2008,138.38,144.3,137.52,140.35,179255100,124.67
6/2/2008,139.83,140.89,127.04,127.98,269879800,114.25
7/1/2008,126.52,129.16,120.02,126.83,337891300,113.23
8/1/2008,127.12,131.51,124.76,128.79,215877300,114.98
9/2/2008,130.03,130.71,110.53,115.99,401587700,104.15
10/1/2008,115.27,116.69,83.58,96.83,534504800,86.94
11/3/2008,96.78,100.86,74.34,90.09,467397100,80.89
12/1/2008,87.51,92.43,81.86,90.24,323359700,81.69
1/2/2009,90.44,94.45,80.05,82.83,362760400,74.98
2/2/2009,81.57,87.74,73.81,73.93,407663300,66.92
3/2/2009,72.52,83.3,67.1,79.52,417157600,72.5
4/1/2009,78.53,89.02,78.33,87.42,301163100,79.7
5/1/2009,87.44,93.7,86.72,92.53,272718800,84.36
6/1/2009,93.67,96.11,88.85,91.95,240170100,84.3
7/1/2009,92.34,99.83,87,98.81,204691000,90.59
8/3/2009,99.85,104.35,98.11,102.46,196839300,93.94
9/1/2009,101.95,108.06,99.57,105.59,192016100,97.27
10/1/2009,103,110.31,101.99,103.56,218514000,95.4
11/2/2009,104.13,111.74,103.08,109.94,179587000,101.28
12/1/2009,110.92,113.03,109.02,111.44,135205600,103.21
1/4/2010,112.37,115.14,107.22,107.39,211448400,99.46
2/1/2010,108.15,111.58,104.58,110.74,243447400,102.56
3/1/2010,111.2,118.17,111.17,117,176551500,108.81
4/1/2010,117.8,122.12,117.1,118.81,197956600,110.49
5/3/2010,119.38,120.68,104.38,109.37,385590600,101.71
6/1/2010,108.35,113.2,102.88,103.22,272280000,96.45
7/1/2010,103.15,112.29,101.13,110.27,235498600,103.04
8/2/2010,111.99,113.18,104.29,105.31,218904700,98.4
9/1/2010,106.73,115.79,106.66,114.13,205845200,107.21
10/1/2010,114.99,119.76,113.18,118.49,186276000,111.31
11/1/2010,119.07,122.95,117.59,118.49,200838500,111.31
12/1/2010,120.2,126.2,120.19,125.75,127907600,118.75
1/3/2011,126.71,130.35,125.7,128.68,150478100,121.52
2/1/2011,129.46,134.69,129.38,133.15,155864500,125.74
3/1/2011,133.57,133.69,125.28,132.59,213912800,125.75
4/1/2011,133.41,136.57,129.51,136.43,146399300,129.4
5/2/2011,137.07,137.18,131.38,134.9,166778000,127.94
6/1/2011,134.51,134.92,126.19,131.97,224277400,125.79
7/1/2011,132.09,135.7,127.97,129.33,207393800,123.27
8/1/2011,130.84,130.96,110.27,122.22,406620800,116.49
9/1/2011,122.29,123.4,111.3,113.15,308413100,108.41
10/3/2011,112.49,129.42,107.43,125.5,283279500,120.24
11/1/2011,122.03,128.02,116.2,124.99,254230300,119.75
12/1/2011,124.85,127.26,120.03,125.5,187820700,121
1/3/2012,127.76,133.4,126.43,131.32,152051600,126.61
2/1/2012,132.29,138.19,132.13,137.02,154025800,132.11
3/1/2012,137.31,141.83,134.36,140.81,145136500,136.36
4/2/2012,140.64,142.21,135.76,139.87,157536800,135.45
5/1/2012,139.79,141.66,129.55,131.47,190924600,127.31
6/1/2012,129.41,136.27,127.14,136.1,183662900,132.48
7/2/2012,136.48,139.34,132.6,137.71,142158000,134.05
8/1/2012,138.7,143.09,135.58,141.16,111546100,137.4
9/4/2012,141.04,148.11,140.13,143.97,133785700,140.89
10/1/2012,144.52,147.16,140.39,141.35,134445400,138.32
11/1/2012,141.65,143.72,134.7,142.15,150920800,139.11
12/3/2012,142.8,145.58,139.54,142.41,156690500,140.35
1/2/2013,145.11,150.94,144.73,149.7,128386400,147.53
2/1/2013,150.65,153.28,148.73,151.61,142543400,149.42
3/1/2013,151.09,156.85,150.41,156.67,121695200,155.09
4/1/2013,156.59,159.72,153.55,159.68,137411100,158.07
5/1/2013,159.33,169.07,158.1,163.45,134474800,161.8
6/3/2013,163.83,165.99,155.73,160.42,184686200,159.64
7/1/2013,161.26,169.86,160.22,168.71,112422400,167.89
8/1/2013,169.99,170.97,163.05,163.65,109911800,162.86
9/3/2013,165.23,173.6,163.7,168.01,118534300,168.01
10/1/2013,168.14,169.5,165.36,165.48,160415600,165.48
